x y mut
     0.750000000E+00     0.500896421E-01     0.230409825E+01
     0.750000000E+00     0.500915345E-01     0.239487696E+01
     0.750000000E+00     0.500934642E-01     0.248816180E+01
     0.750000000E+00     0.500954349E-01     0.258398414E+01
     0.750000000E+00     0.500974391E-01     0.268239296E+01
     0.750000000E+00     0.500994880E-01     0.278342831E+01
     0.750000000E+00     0.501015742E-01     0.288712752E+01
     0.750000000E+00     0.501037013E-01     0.299352705E+01
     0.750000000E+00     0.501058732E-01     0.310266268E+01
     0.750000000E+00     0.501080860E-01     0.321456993E+01
     0.750000000E+00     0.501103435E-01     0.332928419E+01
     0.750000000E+00     0.501126457E-01     0.344684100E+01
     0.750000000E+00     0.501149927E-01     0.356727517E+01
     0.750000000E+00     0.501173880E-01     0.369062150E+01
     0.750000000E+00     0.501198318E-01     0.381691480E+01
     0.750000000E+00     0.501223240E-01     0.394618952E+01
     0.750000000E+00     0.501248647E-01     0.407848024E+01
     0.750000000E+00     0.501274575E-01     0.421382070E+01
     0.750000000E+00     0.501300987E-01     0.435224581E+01
     0.750000000E+00     0.501327958E-01     0.449378967E+01
     0.750000000E+00     0.501355488E-01     0.463848662E+01
     0.750000000E+00     0.501383540E-01     0.478637123E+01
     0.750000000E+00     0.501412150E-01     0.493747830E+01
     0.750000000E+00     0.501441356E-01     0.509184337E+01
     0.750000000E+00     0.501471121E-01     0.524950266E+01
     0.750000000E+00     0.501501520E-01     0.541049242E+01
     0.750000000E+00     0.501532514E-01     0.557485032E+01
     0.750000000E+00     0.501564104E-01     0.574261355E+01
     0.750000000E+00     0.501596365E-01     0.591381907E+01
     0.750000000E+00     0.501629260E-01     0.608849978E+01
     0.750000000E+00     0.501662825E-01     0.626667905E+01
     0.750000000E+00     0.501697060E-01     0.644836140E+01
     0.750000000E+00     0.501732003E-01     0.663350463E+01
     0.750000000E+00     0.501767617E-01     0.682196212E+01
     0.750000000E+00     0.501803976E-01     0.701335812E+01
     0.750000000E+00     0.501841080E-01     0.720683265E+01
     0.750000000E+00     0.501878929E-01     0.740381122E+01
     0.750000000E+00     0.501917523E-01     0.760429335E+01
     0.750000000E+00     0.501956899E-01     0.780808854E+01
     0.750000000E+00     0.501997058E-01     0.801474714E+01
     0.750000000E+00     0.502038073E-01     0.822470045E+01
     0.750000000E+00     0.502079871E-01     0.843847561E+01
     0.750000000E+00     0.502122526E-01     0.865611076E+01
     0.750000000E+00     0.502166074E-01     0.887764263E+01
     0.750000000E+00     0.502210480E-01     0.910310888E+01
     0.750000000E+00     0.502255779E-01     0.933254480E+01
     0.750000000E+00     0.502302010E-01     0.956598711E+01
     0.750000000E+00     0.502349172E-01     0.980347013E+01
     0.750000000E+00     0.502397266E-01     0.100450287E+02
     0.750000000E+00     0.502446365E-01     0.102906961E+02
     0.750000000E+00     0.502496470E-01     0.105405045E+02
     0.750000000E+00     0.502547581E-01     0.107944856E+02
     0.750000000E+00     0.502599698E-01     0.110526710E+02
     0.750000000E+00     0.502652895E-01     0.113150892E+02
     0.750000000E+00     0.502707172E-01     0.115817685E+02
     0.750000000E+00     0.502762530E-01     0.118527365E+02
     0.750000000E+00     0.502819043E-01     0.121280184E+02
     0.750000000E+00     0.502876711E-01     0.124076386E+02
     0.750000000E+00     0.502935496E-01     0.126916194E+02
     0.750000000E+00     0.502995510E-01     0.129799814E+02
     0.750000000E+00     0.503056754E-01     0.132727447E+02
     0.750000000E+00     0.503119227E-01     0.135699239E+02
     0.750000000E+00     0.503182967E-01     0.138715353E+02
     0.750000000E+00     0.503248010E-01     0.141775904E+02
     0.750000000E+00     0.503314358E-01     0.144862857E+02
     0.750000000E+00     0.503382083E-01     0.147983489E+02
     0.750000000E+00     0.503451150E-01     0.151141996E+02
