N2,h2,h,cl,cd,cdp,cdv
901120.0,  0.110973E-05,  0.105344E-02,  0.25042114320E-01,  0.35821385120E-02,  0.40024315819E-03,  0.31818953538E-02
225280.0,  0.443892E-05,  0.210687E-02,  0.24973567751E-01,  0.35790139443E-02,  0.39978590512E-03,  0.31792280391E-02
 56320.0,  0.177557E-04,  0.421375E-02,  0.24830931115E-01,  0.35811925373E-02,  0.41208507053E-03,  0.31691074667E-02
 14080.0,  0.710227E-04,  0.842750E-02,  0.24521025965E-01,  0.36777912402E-02,  0.53646990508E-03,  0.31413213351E-02
  3520.0,  0.284091E-03,  0.168550E-01,  0.23545740973E-01,  0.45344720607E-02,  0.14620096660E-02,  0.30724623947E-02
