x,cf,cp
0.27806397600000E-15,  0.17402820300000E-01,  0.63477E-01
0.79999998000000E-03,  0.22178767200000E-01,  0.35007E-01
0.16062649700000E-02,  0.84676574900000E-02,  0.23673E-01
0.24188372800000E-02,  0.71625025000000E-02,  0.25899E-01
0.32377592300000E-02,  0.64375535600000E-02,  0.25330E-01
0.40630735500000E-02,  0.59505966500000E-02,  0.25783E-01
0.48948228400000E-02,  0.56389072000000E-02,  0.26182E-01
0.57330504100000E-02,  0.54599857000000E-02,  0.26897E-01
0.65777995600000E-02,  0.53883115800000E-02,  0.27830E-01
0.74291126800000E-02,  0.53937044000000E-02,  0.28876E-01
0.82870340000000E-02,  0.54412181500000E-02,  0.29809E-01
0.91516068200000E-02,  0.54967100700000E-02,  0.30477E-01
0.10022874900000E-01,  0.55364887200000E-02,  0.30861E-01
0.10900882100000E-01,  0.55512376100000E-02,  0.31031E-01
0.11785673000000E-01,  0.55428491900000E-02,  0.31067E-01
0.12677291400000E-01,  0.55183246700000E-02,  0.31043E-01
0.13575782100000E-01,  0.54849367600000E-02,  0.31001E-01
0.14481188700000E-01,  0.54479953800000E-02,  0.30962E-01
0.15393557000000E-01,  0.54105892800000E-02,  0.30939E-01
0.16312930700000E-01,  0.53741657200000E-02,  0.30927E-01
0.17239356400000E-01,  0.53391959500000E-02,  0.30927E-01
0.18172876900000E-01,  0.53056511100000E-02,  0.30936E-01
0.19113540600000E-01,  0.52732853200000E-02,  0.30948E-01
0.20061390500000E-01,  0.52417945100000E-02,  0.30965E-01
0.21016471100000E-01,  0.52109053400000E-02,  0.30983E-01
0.21978830900000E-01,  0.51804147700000E-02,  0.31001E-01
0.22948514700000E-01,  0.51502063900000E-02,  0.31019E-01
0.23925568900000E-01,  0.51202387500000E-02,  0.31040E-01
0.24910038300000E-01,  0.50905230500000E-02,  0.31061E-01
0.25901969500000E-01,  0.50611100200000E-02,  0.31082E-01
0.26901409000000E-01,  0.50320653200000E-02,  0.31103E-01
0.27908403400000E-01,  0.50034509000000E-02,  0.31126E-01
0.28922999300000E-01,  0.49753231000000E-02,  0.31153E-01
0.29945241300000E-01,  0.49477317400000E-02,  0.31183E-01
0.30975179700000E-01,  0.49207131400000E-02,  0.31216E-01
0.32012857500000E-01,  0.48942845300000E-02,  0.31249E-01
0.33058326700000E-01,  0.48684538300000E-02,  0.31287E-01
0.34111630200000E-01,  0.48432238400000E-02,  0.31326E-01
0.35172816400000E-01,  0.48185931500000E-02,  0.31368E-01
0.36241930000000E-01,  0.47945524600000E-02,  0.31412E-01
0.37319023200000E-01,  0.47710822000000E-02,  0.31457E-01
0.38404140600000E-01,  0.47481646800000E-02,  0.31508E-01
0.39497330800000E-01,  0.47257822000000E-02,  0.31559E-01
0.40598642100000E-01,  0.47039198700000E-02,  0.31612E-01
0.41708119200000E-01,  0.46825599900000E-02,  0.31669E-01
0.42825810600000E-01,  0.46616806600000E-02,  0.31725E-01
